org_name,desc - 140 character limit,description,link,,,,num_clicks,created_at,updated_at
NOW,,"The National Organization for Women is dedicated to its multi-issue and multi-strategy approach to women’s rights, and is the largest organization of feminist grassroots activists in the United States.",https://salsa.wiredforchange.com/o/5996/p/salsa/donation/common/public/?donate_page_KEY=11132,,,,,,
NARAL,,NARAL Pro-Choice America fights for reproductive freedom for every person in every state.,https://secure.actblue.com/contribute/page/homepage_maindonate/,,,,,,
Women who code,,Our mission is to inspire women to excel in technology careers.,https://www.womenwhocode.com/donate,,,,,,
INCITE,,"A national activist organization of radical feminists of color advancing a movement to end violence against women of color and our communities through direct action, critical dialogue and grassroots organizing.",https://www.alliedmedia.org/incite/donate,,,,,,
Girls Rock,,"Girls Rock Camps help girls build self-esteem and find their voices through unique programming that combines music education and performance; empowerment and social justice workshops; positive role models, and collaboration and leadership skill building.",https://www.paypal.com/donate/?token=sECed_XxQWhffqGm4lwQHliq7l4mZLYup-s4wvOPxQTu7aneiJ9-1jVrrzaenvAHux-iPm&country.x=US&locale.x=US,,,,,,
SONG,,SONG builds a beloved community of LGBTQ people in the South who are ready and willing to do our part to challenge oppression in order to bring about liberation for ALL people.,https://database.southernersonnewground.org/civicrm/contribute/transact?reset=1&id=2,,,,,,
BLM,,Black Lives Matter is a chapter-based national organization working for the validity of Black life.,https://donate.thousandcurrents.org/checkout/donation?eid=66399,,,,,,
Women's Sports Foundation,,The Women’s Sports Foundation is dedicated to creating leaders by ensuring all girls access to sports.,https://www.womenssportsfoundation.org/support-us/access-to-sport-the-gift-that-keeps-giving/,,,,,,
Girl Scouts,,"Girl Scouting builds girls of courage, confidence, and character, who make the world a better place.",http://www.girlscouts.org/en/adults/donate.html,,,,,,
Ms. Foundation for Women,,The mission of the Ms. Foundation for Women is to build women’s collective power to realize a nation of justice for all.,https://salsa4.salsalabs.com/o/51040/p/salsa/donation/common/public/?donate_page_KEY=9968&_ga=2.163051772.1552634196.1506642228-2055024717.1506642228,,,,,,
Planned Parenthood,,"Planned Parenthood is one of the nation’s leading providers of high-quality, affordable health care, and the nation’s largest provider of sex education.",https://secure.ppaction.org/site/Donation2?df_id=24851&24851.donation=form1,,,,,,
Feminist Majority Foundation,,"FMF utilizes research and actionto empower women economically, socially, and politically.",https://org.salsalabs.com/o/1400/p/salsa/donation/common/public/?donate_page_KEY=9702,,,,,,
